Plate Height Test:,PlateHeightTest20161104120816
Time:,2016-11-04 12:08:16.820568084 +0000 GMT
antha-lang/antha commitID:,cbb715afde4e0cf1a17ee4311572f17af43010bd

TestName,Plate,Liquid name,Liquid type ,Liquid Volume,Well ,Aspirate mm from Bottom of well? ,Dispense mm from Bottom of well? ,Acceptable? ," Comments",plate Z start,Plate Height,lhpolicy aspirate z offset,lhpolicy dispense z offset
PlateHeightTest20161104120816,pcrplate_skirted_riser20_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",18.5,25.7,<nil>,1
PlateHeightTest20161104120816,pcrplate_skirted_riser20_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",18.5,25.7,<nil>,0.5
PlateHeightTest20161104120816,pcrplate_skirted_riser20_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "," "," ",18.5,25.7,<nil>,1
PlateHeightTest20161104120816,pcrplate_skirted_riser20_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "," "," ",18.5,25.7,<nil>,0.5
PlateHeightTest20161104120816,Nuncon12wellAgar_incubator_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",52.5,22,<nil>,1
PlateHeightTest20161104120816,Nuncon12wellAgar_incubator_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",52.5,22,<nil>,0.5
PlateHeightTest20161104120816,Nuncon12wellAgar_incubator_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "," "," ",52.5,22,<nil>,1
PlateHeightTest20161104120816,Nuncon12wellAgar_incubator_Platenumber_1,Evian,dna_mix,100.000ul,A2,"  ","  "," "," ",52.5,22,<nil>,0.5
PlateHeightTest20161104120816,falcon6wellAgar_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",9,20,<nil>,1
PlateHeightTest20161104120816,falcon6wellAgar_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",9,20,<nil>,0.5
PlateHeightTest20161104120816,falcon6wellAgar_Platenumber_1,Evian,water,100.000ul,A2,"  ","  "," "," ",9,20,<nil>,1
PlateHeightTest20161104120816,falcon6wellAgar_Platenumber_1,Evian,dna_mix,100.000ul,B2,"  ","  "," "," ",9,20,<nil>,0.5
